V,A
-1.70858,-4.20478e-05
-1.7053786570713392,-4.1346775437045704e-05
-1.7021773141426784,-4.064575087409141e-05
-1.6989759712140176,-3.994472631113711e-05
-1.6957746282853567,-3.930482422207164e-05
-1.692573285356696,-3.9125080277589544e-05
-1.6893719424280351,-3.8945336333107456e-05
-1.6861705994993743,-3.876559238862536e-05
-1.6829692565707133,-3.86200902805488e-05
-1.6797679136420525,-3.8586361414674e-05
-1.6765665707133917,-3.855263254879921e-05
-1.6733652277847308,-3.851890368292441e-05
-1.67016388485607,-3.845893113954944e-05
-1.6669625419274092,-3.81507466870981e-05
-1.6637611989987484,-3.784256223464675e-05
-1.6605598560700876,-3.753437778219541e-05
-1.6573585131414268,-3.730381077126778e-05
-1.654157170212766,-3.7160020766676366e-05
-1.6509558272841052,-3.701623076208495e-05
-1.6477544843554444,-3.6872440757493534e-05
-1.6445531414267835,-3.670735915586916e-05
-1.6413517984981227,-3.652744471430674e-05
-1.6381504555694617,-3.634753027274431e-05
-1.634949112640801,-3.616761583118189e-05
-1.63174776971214,-3.6038860754503063e-05
-1.6285464267834793,-3.593102468980231e-05
-1.6253450838548185,-3.582318862510157e-05
-1.6221437409261577,-3.5715352560400815e-05
-1.6189423979974968,-3.5577781560901245e-05
-1.615741055068836,-3.543399155630983e-05
-1.6125397121401752,-3.529020155171841e-05
-1.6093383692115144,-3.5146411547126996e-05
-1.6061370262828536,-3.51384e-05
-1.6029356833541928,-3.51384e-05
-1.599734340425532,-3.51384e-05
-1.5965329974968712,-3.51384e-05
-1.5933316545682104,-3.503624190474613e-05
-1.5901303116395495,-3.490939967025954e-05
-1.5869289687108885,-3.4782557435772956e-05
-1.5837276257822277,-3.463599851659857e-05
-1.5805262828535669,-3.447000912358873e-05
-1.577324939924906,-3.43040197305789e-05
-1.5741235969962453,-3.413803033756906e-05
-1.5709222540675845,-3.3978674631644343e-05
-1.5677209111389236,-3.383485887208166e-05
-1.5645195682102628,-3.3691043112518966e-05
-1.561318225281602,-3.354722735295628e-05
-1.5581168823529412,-3.3433342420668754e-05
